25
22
9
15
84
23,75,222,0
8,325,22,0
8,275,22,0
8,225,22,0
8,175,22,0
8,175,72,0
8,125,72,0
8,125,122,0
8,75,122,0
8,75,172,0
8,25,172,0
8,25,222,0
8,25,272,0
8,75,272,0
8,75,322,0
8,125,322,0
8,125,372,0
8,175,372,0
8,175,422,0
8,225,422,0
8,275,422,0
8,325,422,0
8,375,422,0
8,425,422,0
8,475,422,0
8,525,422,0
8,575,422,0
8,575,372,0
8,625,372,0
8,625,322,0
8,675,322,0
8,675,272,0
8,725,272,0
8,725,222,0
8,725,172,0
8,675,172,0
8,675,122,0
8,625,122,0
8,625,72,0
8,575,72,0
8,575,22,0
8,525,22,0
8,475,22,0
8,425,22,0
8,375,22,0
11,625,22,0
11,675,22,0
11,675,72,0
11,725,72,0
11,725,122,0
11,725,22,0
12,725,322,0
12,725,372,0
12,675,372,0
12,625,422,0
12,675,422,0
12,725,422,0
9,125,22,0
9,75,22,0
9,75,72,0
9,25,72,0
9,25,122,0
9,25,22,0
10,25,322,0
10,25,372,0
10,25,422,0
10,75,422,0
10,125,422,0
10,75,372,0
0,675,222,21
1,375,72,0
1,375,372,0
1,475,172,0
1,475,322,0
1,225,122,0
1,225,272,0
13,375,222,0
7,325,172,0
7,375,172,0
7,425,172,0
7,425,222,0
7,425,272,0
7,375,272,0
7,325,272,0
7,325,222,0
