8
15
62
5,50,50
5,100,50
5,150,50
5,200,50
5,250,50
5,300,50
5,350,50
5,400,50
5,450,50
5,500,50
5,550,50
5,600,50
5,650,50
5,650,100
5,650,150
5,650,200
5,650,250
5,650,300
5,600,350
5,550,350
5,500,350
5,450,350
5,400,350
5,350,350
5,300,350
5,250,350
5,200,350
5,150,350
5,150,300
5,100,300
5,50,300
5,50,250
5,50,200
5,50,150
5,50,100
1,100,100
1,700,0
1,0,350
7,300,300
7,300,250
7,250,250
7,200,200
7,200,150
7,250,150
7,300,150
7,400,150
7,500,150
7,550,150
7,600,200
7,600,250
7,600,300
7,550,300
7,500,300
7,450,300
7,400,300
7,400,250
7,350,250
1,450,250
1,500,200
1,550,250
1,400,200
1,300,200
