25
22
9
15
45
23,75,72,0
16,25,22,0
16,75,22,0
16,125,22,0
16,225,22,0
16,275,22,0
16,325,22,0
16,425,22,0
16,475,22,0
16,525,22,0
16,575,22,0
16,625,22,0
16,675,22,0
16,725,22,0
16,375,22,0
16,175,22,0
16,25,72,0
16,25,372,0
16,25,422,0
16,75,422,0
16,125,422,0
16,175,422,0
16,225,422,0
16,275,422,0
16,375,422,0
16,425,422,0
16,475,422,0
16,525,422,0
16,575,422,0
16,625,422,0
16,675,422,0
16,725,422,0
16,325,422,0
16,725,372,0
16,725,72,0
0,25,172,21
0,25,322,22
0,25,222,0
0,25,272,0
0,25,122,0
0,725,122,20
0,725,172,20
0,725,222,0
0,725,272,0
0,725,322,19
26,475,172,0
