8
15
57
5,50,50
5,50,100
5,50,150
5,50,200
5,50,250
5,50,300
5,100,300
5,200,300
5,150,300
5,250,300
5,300,300
5,350,300
5,400,300
5,450,300
5,500,300
5,550,300
5,600,300
5,650,300
5,650,250
5,650,200
5,650,150
5,650,100
5,650,50
5,600,50
5,550,50
5,500,50
5,450,50
5,400,50
5,350,50
5,250,50
5,300,50
5,200,50
5,150,50
5,100,50
0,200,150
0,250,150
0,300,150
0,350,150
0,400,150
0,450,150
0,500,150
0,500,200
0,450,200
0,400,250
0,350,250
0,300,250
0,250,200
0,200,200
1,300,200
1,550,250
1,150,250
1,400,100
1,700,200
1,300,350
1,400,0
0,0,300
0,700,50
