8
15
78
5,100,0
5,150,0
5,200,0
5,250,0
5,300,0
5,350,0
5,400,0
5,450,0
5,500,0
5,550,0
5,600,0
5,650,0
5,700,0
5,700,50
5,700,100
5,700,200
5,700,150
5,700,250
5,700,300
2,0,100
2,0,150
2,0,200
2,0,250
2,0,300
2,0,350
2,50,350
2,100,350
2,150,350
2,200,350
2,250,350
2,300,350
2,350,350
2,400,350
2,450,350
2,500,350
2,550,350
2,600,350
2,650,350
2,700,350
8,350,100
8,350,150
8,350,200
8,350,250
7,400,50
7,400,100
7,400,250
7,400,300
9,500,150
9,500,200
10,550,100
10,550,150
10,550,200
10,550,250
11,600,300
11,650,300
11,600,50
11,650,50
12,600,150
12,600,200
12,600,100
12,600,250
13,450,150
13,450,200
1,300,300
1,300,50
2,200,50
2,250,100
2,300,100
5,200,300
5,250,250
5,300,250
0,50,50
0,100,50
0,100,100
0,50,100
1,100,300
1,500,300
1,500,50
