8
15
60
2,0,150
3,50,200
4,100,250
5,150,300
0,100,50
0,50,50
1,150,100
1,50,300
7,150,250
7,200,250
8,300,150
8,300,100
8,300,50
8,300,0
8,400,0
8,400,50
8,400,100
8,400,150
10,400,200
10,450,200
10,500,200
10,450,250
10,500,300
10,550,300
10,600,300
13,600,100
13,100,100
8,300,300
8,300,350
8,400,300
8,400,350
11,250,250
11,300,200
11,250,200
11,200,200
14,700,300
14,650,300
15,650,250
15,650,200
15,250,50
15,450,50
15,650,0
15,700,0
16,0,350
7,500,250
7,550,250
7,550,100
7,550,50
7,600,50
7,650,50
7,650,100
7,650,150
7,600,150
7,550,150
0,500,50
1,700,350
1,700,100
1,500,0
1,500,150
1,250,300
